Data,Query_Utente,Film_Consigliato,Voto
2026-01-15 19:08:52,space,The Right Stuff,POS
2026-01-15 19:10:36,war,Beasts of No Nation,POS
2026-01-15 19:11:44,rape,Repulsion,POS
2026-01-15 19:12:25,fall,Sound of Metal,POS
2026-01-15 19:12:27,a fall of a man,Drishyam,POS
2026-01-15 19:12:33,sky,Le Petit Prince,POS
2026-01-15 19:12:39,fire,Only the Brave,NEG
2026-01-15 19:13:07,match,The Hustler,POS
2026-01-15 19:13:13,love,The Notebook,POS
2026-01-15 19:13:20,cry,Dil Bechara,POS
2026-01-15 19:13:55,cry,Dil Bechara,NEG
2026-01-15 19:14:07,rape,Repulsion,POS
2026-01-15 19:14:08,priest,Primal Fear,NEG
2026-01-15 19:14:17,alien,The Day the Earth Stood Still,POS
2026-01-15 19:14:18,aliens,The Day the Earth Stood Still,NEG
2026-01-15 19:19:55,godfather,The Godfather: Part II,POS
2026-01-15 19:43:11,space,The Midnight Gospel,POS
2026-01-15 21:06:07,space,The Midnight Gospel,POS
2026-01-15 21:08:40,naples,Gomorra,POS
2026-01-15 21:09:55,crazy,Pâfekuto burû,POS
2026-01-15 21:52:43,space,The Midnight Gospel,POS
2026-01-15 21:53:29,rodrigo,El Che,POS
2026-01-15 22:05:16,de niro,El Potro: Unstoppable,POS
2026-01-15 22:05:17,rodrigo,El Che,NEG
2026-01-15 22:24:34,ue,Me and the Alien,NEG
2026-01-15 22:24:46,godfather,The Godfather: Part II,POS
2026-01-15 22:40:34,corleone,The Godfather: Part III,POS
2026-01-15 22:40:59,vito,The Godfather: Part II,POS
2026-01-15 22:41:10,space,The Midnight Gospel,NEG
